Nama Wilayah,,,
,Garis Kemiskinan Menurut Kabupaten/Kota (Rupiah/kapita/bulan),,
KALIMANTAN TENGAH,548816,596184,623954
Kotawaringin Barat,476297,513949,536747
Kotawaringin Timur,510290,547170,572827
Kapuas,424066,485958,508022
Barito Selatan,481352,512492,542075
Barito Utara,563393,590832,628429
Sukamara,619116,648534,676781
Lamandau,588591,634710,673768
Seruyan,571049,608186,642281
Katingan,553082,589596,615575
Pulang Pisau,454933,507058,542349
Gunung Mas,479550,526341,562332
Barito Timur,571786,623053,663119
Murung Raya,550105,607650,646759
Kota Palangka Raya,485800,530223,555618
KALIMANTAN SELATAN,553073,604266,632739
Tanah Laut,575061,620532,670062
Kota Baru,505601,556962,592230
Banjar,514991,561521,589165
Barito Kuala,375707,417110,437579
Tapin,484113,516532,561101
Hulu Sungai Selatan,516857,547855,583549
Hulu Sungai Tengah,444331,475655,513950
Hulu Sungai Utara,526919,561429,597894
Tabalong,573018,615912,637132
Tanah Bumbu,557500,619249,643652
Balangan,476190,508157,528104
Kota Banjarmasin,651383,708617,743872
Kota Banjar Baru,692830,753899,781405
KALIMANTAN TIMUR,728208,790186,833955
Paser,556371,600332,634259
Kutai Barat,635478,679660,716440
Kutai Kartanegara,605321,644570,682490
Kutai Timur,659136,714241,753332
Berau,624948,677819,731250
Penajam Paser Utara,538022,583239,617673
Mahakam Hulu,684644,740683,792742
Kota Balikpapan,680499,743084,782248
Kota Samarinda,784198,850842,877945
Kota Bontang,697326,763661,801945
KALIMANTAN UTARA,772914,817876,854294
Malinau,692605,749933,791037
Bulungan,514320,551925,572546
Tana Tidung,462898,490400,518696
Nunukan,519231,556342,597431
Kota Tarakan,773446,819621,854967
SULAWESI UTARA,427016,463432,490719
Bolaang Mongondow,355639,394032,415628
Minahasa,308634,338802,352693
Kepulauan Sangihe,292549,313945,328431
Kepulauan Talaud,319974,352120,364581
Minahasa Selatan,365119,394739,435428
Minahasa Utara,362428,391699,427412
Bolaang Mongondow Utara,283627,316327,334448
Siau Tagulandang Biaro,339250,370423,388056
Minahasa Tenggara,356988,385636,402654
Bolaang Mongondow Selatan,358465,397381,419865
Bolaang Mongondow Timur,368578,411409,433873
Kota Manado,475683,521012,540888
Kota Bitung,458983,501139,518405
Kota Tomohon,461424,508251,530321
Kota Kotamobagu,385962,426174,452245
SULAWESI TENGAH,530251,568248,600872
Banggai Kepulauan,396904,432673,453552
Banggai,457335,488788,515334
Morowali,507523,553185,590027
Poso,561276,599881,620267
Donggala,395028,421493,438396
Toli-Toli,378317,405556,441975
Buol,410824,438363,477640
Parigi Moutong,495623,531255,553012
Tojo Una-Una,547910,597788,622000
Sigi,409679,445106,463011
Banggai Laut,384686,424660,443877
Morowali Utara,519441,556204,594137
Kota Palu,604280,632261,658112
SULAWESI SELATAN,399755,436025,459226
Kepulauan Selayar,430976,453432,468755
Bulukumba,390040,406882,422111
Bantaeng,394116,419677,434664
Jeneponto,384299,405280,416231
Takalar,399062,428941,455793
Gowa,429222,456719,475305
Sinjai,374226,397562,412441
Maros,450275,510040,530070
Pangkajene Dan Kepulauan,389613,416815,439192
Barru,368150,400702,417396
Bone,380513,408244,423727
Soppeng,365650,398802,411958
Wajo,375022,402351,431291
Sidenreng Rappang,383134,421321,458509
Pinrang,366808,400091,414198
Enrekang,371669,408198,427556
Luwu,381015,414118,433898
Tana Toraja,366753,399202,418308
Luwu Utara,382251,414548,431980
Luwu Timur,394158,438178,460356
Toraja Utara,364343,395731,413029
Kota Makassar,511081,570286,592753
Kota Parepare,402126,445032,467151
Kota Palopo,403144,442276,466521
SULAWESI TENGGARA,404137,443980,462715
Buton,279627,302183,313831
Muna,387114,419071,434750
Konawe,363645,400581,425029
Kolaka,448100,464000,477917
Konawe Selatan,294510,331620,354696
Bombana,368576,406706,423183
Wakatobi,319981,340151,355748
Kolaka Utara,511972,517092,529192
Buton Utara,373792,403834,422483
Konawe Utara,340061,381620,407710
Kolaka Timur,458563,513085,525091
Konawe Kepulauan,370692,393000,415880
Muna Barat,382129,412697,428282
Buton Tengah,275058,299593,310721
Buton Selatan,264666,290203,300991
Kota Kendari,454846,503369,516809
Kota Baubau,376932,412008,431717
GORONTALO,411906,442194,473006
Boalemo,472906,525007,551189
Gorontalo,531294,568430,605743
Pohuwato,345924,370530,391236
Bone Bolango,475874,505252,531286
Gorontalo Utara,346557,371302,387535
Kota Gorontalo,643531,697650,723861
SULAWESI BARAT,405187,433131,454879
Majene,433111,461255,482173
Polewali Mandar,452836,482658,507347
Mamasa,312206,329768,347008
Mamuju,319586,340795,356903
Mamuju Utara,404318,432269,453038
Mamuju Tengah,290030,309227,324888
MALUKU,631326,684020,713503
Maluku Tenggara Barat,546300,615768,645956
Maluku Tenggara,595041,669140,695738
Maluku Tengah,542782,589125,614323
Buru,530858,584277,610346
Kepulauan Aru,562416,626086,644112
Seram Bagian Barat,449297,486747,508517
Seram Bagian Timur,421902,458176,478721
Maluku Barat Daya,586021,658036,686428
Buru Selatan,677044,743721,769919
Kota Ambon,661016,716560,750166
Kota Tual,640542,722498,746967
MALUKU UTARA,514383,564733,604460
Halmahera Barat,379108,414870,455327
Halmahera Tengah,507555,552350,593903
Kepulauan Sula,414512,453476,485242
Halmahera Selatan,362100,400768,449334
Halmahera Utara,301041,378968,425857
Halmahera Timur,624983,631233,655936
Pulau Morotai,301712,379931,428136
Pulau Taliabu,448735,491203,525953
Kota Ternate,661459,668074,701354
Kota Tidore Kepulauan,484983,540752,581193
PAPUA BARAT,665604,728619,793804
Fakfak,628418,671021,725257
Kaimana,511011,609865,682231
Teluk Wondama,614573,659187,710854
Teluk Bintuni,716834,787048,794285
Manokwari,690028,752635,802749
Sorong Selatan,422694,506944,-
Sorong,466380,559363,-
