Provinsi,Perkotaan_Semester1,Perkotaan_Semester2,Perdesaan_Semester1,Perdesaan_Semester2,Total_Semester1,Total_Semester2,Tahun
JAMBI,379659.0,389321.0,327181.0,341445.0,343783.0,355585.0,2019
SUMATERA SELATAN,318325.0,331698.0,299598.0,311271.0,306087.0,318123.0,2019
BENGKULU,393835.0,422120.0,358509.0,369733.0,369211.0,384886.0,2019
LAMPUNG,335947.0,344994.0,304512.0,318866.0,313620.0,326364.0,2019
KEP. BANGKA BELITUNG,480596.0,504235.0,507100.0,541062.0,492693.0,521298.0,2019
KEP. RIAU,393859.0,397193.0,412190.0,429322.0,396007.0,400070.0,2019
DKI JAKARTA,429915.0,451918.0,0.0,0.0,429915.0,451918.0,2019
JAWA BARAT,280844.0,291607.0,284171.0,295872.0,281693.0,292718.0,2019
JAWA TENGAH,270631.0,284099.0,273501.0,282349.0,272080.0,283217.0,2019
DI YOGYAKARTA,323635.0,338723.0,279124.0,286565.0,310947.0,322999.0,2019
JAWA TIMUR,305759.0,310555.0,290587.0,294266.0,298341.0,302757.0,2019
BANTEN,344073.0,358473.0,304403.0,323479.0,331601.0,347368.0,2019
BALI,278769.0,292350.0,269879.0,271679.0,275834.0,285920.0,2019
NUSA TENGGARA BARAT,294223.0,301167.0,280269.0,285008.0,286871.0,292522.0,2019
NUSA TENGGARA TIMUR,317432.0,337056.0,285352.0,289037.0,292305.0,299476.0,2019
KALIMANTAN BARAT,348116.0,366155.0,337213.0,345098.0,340782.0,351667.0,2019
KALIMANTAN TENGAH,317184.0,337107.0,363433.0,376076.0,346454.0,361419.0,2019
KALIMANTAN SELATAN,312945.0,322321.0,335341.0,354054.0,325590.0,340430.0,2019
KALIMANTAN TIMUR,422701.0,437601.0,441376.0,465407.0,429165.0,446840.0,2019
KALIMANTAN UTARA,495678.0,514485.0,453445.0,453992.0,478280.0,488970.0,2019
SULAWESI UTARA,277347.0,283576.0,295007.0,297736.0,286215.0,290623.0,2019
SULAWESI TENGAH,326695.0,349776.0,340726.0,360828.0,336739.0,357664.0,2019
SULAWESI SELATAN,238425.0,251107.0,254134.0,260579.0,247704.0,256826.0,2019
SULAWESI TENGGARA,242594.0,255355.0,247687.0,262555.0,245761.0,259888.0,2019
GORONTALO,255870.0,261635.0,259698.0,279108.0,258158.0,272431.0,2019
SULAWESI BARAT,261198.0,266109.0,252528.0,262158.0,254518.0,262966.0,2019
MALUKU,380992.0,399149.0,388514.0,424033.0,385303.0,414480.0,2019
MALUKU UTARA,352536.0,358394.0,343631.0,344340.0,346075.0,348361.0,2019
PAPUA BARAT,433054.0,448816.0,447368.0,456010.0,441803.0,453232.0,2019
PAPUA BARAT DAYA,0.0,0.0,0.0,0.0,0.0,0.0,2019
PAPUA,394446.0,402419.0,408203.0,424006.0,404631.0,418367.0,2019
PAPUA SELATAN,0.0,0.0,0.0,0.0,0.0,0.0,2019
PAPUA TENGAH,0.0,0.0,0.0,0.0,0.0,0.0,2019
PAPUA PEGUNUNGAN,0.0,0.0,0.0,0.0,0.0,0.0,2019
INDONESIA,316687.0,329220.0,309287.0,320019.0,313232.0,324911.0,2019
ACEH,398026.0,399504.0,396615.0,397816.0,397032.0,398316.0,2020
SUMATERA UTARA,376919.0,378679.0,376656.0,378550.0,376790.0,378617.0,2020
SUMATERA BARAT,411369.0,413073.0,415694.0,416419.0,413832.0,414949.0,2020
RIAU,400297.0,401965.0,394776.0,396647.0,396883.0,398654.0,2020
JAMBI,409968.0,412391.0,349384.0,350313.0,368137.0,369835.0,2020
SUMATERA SELATAN,337697.0,338390.0,321453.0,323914.0,327021.0,328710.0,2020
BENGKULU,423966.0,426542.0,374440.0,377325.0,389613.0,392261.0,2020
LAMPUNG,364654.0,367275.0,333219.0,335769.0,342151.0,344944.0,2020
KEP. BANGKA BELITUNG,507398.0,511872.0,543077.0,546174.0,524371.0,528771.0,2020
KEP. RIAU,406556.0,408172.0,442464.0,444217.0,410225.0,410811.0,2020
DKI JAKARTA,466156.0,467847.0,0.0,0.0,466156.0,467847.0,2020
JAWA BARAT,299959.0,303465.0,307253.0,312563.0,301806.0,305687.0,2020
JAWA TENGAH,295446.0,297510.0,292760.0,295899.0,294095.0,296697.0,2020
DI YOGYAKARTA,350055.0,350253.0,296144.0,296654.0,334461.0,335262.0,2020
JAWA TIMUR,317234.0,317483.0,306255.0,309418.0,311891.0,313653.0,2020
BANTEN,374474.0,376950.0,342546.0,355550.0,364725.0,370293.0,2020
BALI,307459.0,309933.0,280900.0,284541.0,298945.0,302154.0,2020
NUSA TENGGARA BARAT,312088.0,314001.0,293862.0,296269.0,302545.0,304982.0,2020
NUSA TENGGARA TIMUR,357134.0,358164.0,305029.0,305413.0,316130.0,316659.0,2020
KALIMANTAN BARAT,379108.0,382408.0,351955.0,353089.0,361075.0,362874.0,2020
KALIMANTAN TENGAH,358205.0,362579.0,397192.0,402086.0,382954.0,387865.0,2020
KALIMANTAN SELATAN,337851.0,341730.0,370662.0,374563.0,355813.0,360394.0,2020
KALIMANTAN TIMUR,453545.0,462661.0,483135.0,486520.0,463823.0,470589.0,2020
KALIMANTAN UTARA,526226.0,532518.0,460249.0,471012.0,499050.0,508699.0,2020
SULAWESI UTARA,300906.0,306074.0,301162.0,307159.0,301032.0,306583.0,2020
SULAWESI TENGAH,354798.0,356510.0,366541.0,375369.0,363287.0,370310.0,2020
SULAWESI SELATAN,257455.0,265149.0,268024.0,275659.0,263690.0,271199.0,2020
SULAWESI TENGGARA,264082.0,274804.0,271154.0,276410.0,268511.0,275884.0,2020
GORONTALO,279230.0,281726.0,292558.0,298431.0,287272.0,291402.0,2020
SULAWESI BARAT,277068.0,278234.0,268940.0,270167.0,270655.0,271458.0,2020
MALUKU,407169.0,423608.0,428902.0,433906.0,419778.0,429678.0,2020
MALUKU UTARA,360482.0,364415.0,357381.0,361627.0,358264.0,362406.0,2020
PAPUA BARAT,453352.0,458403.0,470084.0,471297.0,463545.0,465715.0,2020
PAPUA BARAT DAYA,0.0,0.0,0.0,0.0,0.0,0.0,2020
PAPUA,408356.0,419488.0,428109.0,443201.0,423243.0,437370.0,2020
PAPUA SELATAN,0.0,0.0,0.0,0.0,0.0,0.0,2020
PAPUA TENGAH,0.0,0.0,0.0,0.0,0.0,0.0,2020
PAPUA PEGUNUNGAN,0.0,0.0,0.0,0.0,0.0,0.0,2020
INDONESIA,339519.0,342356.0,331492.0,335042.0,335793.0,339003.0,2020
ACEH,418047.0,426126.0,406917.0,414738.0,410420.0,418296.0,2021
SUMATERA UTARA,397996.0,409313.0,391979.0,399971.0,395104.0,404860.0,2021
SUMATERA BARAT,424106.0,431008.0,438205.0,444693.0,431644.0,438308.0,2021
