38 Provinsi,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Tahun
JAWA TENGAH,98281,99910.2,-,88642,89496.8,-,93582,94827.43,-,2018
DI YOGYAKARTA,125328,126522.87,-,95550,98191.36,-,117272,118822.06,-,2018
JAWA TIMUR,102744,103272.04,-,89057,89738.64,-,96225,96897.56,-,2018
BANTEN,132429,137476.93,-,96862,104616.34,-,122153,127852.39,-,2018
BALI,123953,125078.78,-,108143,109674.42,-,118604,120176.38,-,2018
NUSA TENGGARA BARAT,98141,99982.72,-,84374,91635.69,-,90777,95622.84,-,2018
NUSA TENGGARA TIMUR,119421,120212.55,-,63119,66622.03,-,75987,78999.45,-,2018
KALIMANTAN BARAT,100003,103335.38,-,81602,87098.79,-,87805,92716.93,-,2018
KALIMANTAN TENGAH,96241,98329.95,-,78636,83686.68,-,85401,89461.96,-,2018
KALIMANTAN SELATAN,152617,153198.22,-,100783,101478.29,-,124920,125666.42,-,2018
KALIMANTAN TIMUR,181664,190174,-,145280,154524.61,-,169596,178650.19,-,2018
KALIMANTAN UTARA,172564,175652.25,-,147823,150711.73,-,162252,165958.59,-,2018
SULAWESI UTARA,86738,88912.17,-,71873,74105.35,-,79322,81782.88,-,2018
SULAWESI TENGAH,124955,125852.35,-,91186,91243.29,-,100595,101178.63,-,2018
SULAWESI SELATAN,96376,96857.57,-,63581,65796.53,-,77256,79099.04,-,2018
SULAWESI TENGGARA,90744,91842.18,-,68026,71248.56,-,76729,79013.38,-,2018
GORONTALO,80305,81220.4,-,64790,67246.78,-,70788,73011.51,-,2018
SULAWESI BARAT,65681,67038.64,-,70469,74140.43,-,69333,72578.68,-,2018
MALUKU,124804,127820.09,-,96604,102147.06,-,108357,113012.08,-,2018
MALUKU UTARA,98243,118003.18,-,84786,86329.06,-,88628,95381.2,-,2018
PAPUA BARAT,146928,162059.55,-,98229,105223.48,-,117927,128283.36,-,2018
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-,2018
PAPUA,181530,188327.81,-,103112,107165.87,-,124711,129967.53,-,2018
PAPUA SELATAN,-,-,-,-,-,-,-,-,-,2018
PAPUA TENGAH,-,-,-,-,-,-,-,-,-,2018
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-,2018
INDONESIA,120342,121860.22,-,89606,92270.22,-,106414,108647.91,-,2018
,Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah,,,,,,,,,2019
,Perkotaan,,,Perdesaan,,,Perkotaan+Perdesaan,,,2019
,2019,,,2019,,,2019,,,2019
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,2019
ACEH,137577,140281,-,106943,110248,-,116842,120033,-,2019
SUMATERA UTARA,129321,139706,-,97785,103166,-,114907,123015,-,2019
SUMATERA BARAT,143519,149242,-,101722,108553,-,121319,127697,-,2019
RIAU,152604,163071,-,123242,129376,-,135097,142957,-,2019
JAMBI,131996,135322,-,91640,96542,-,104725,108973,-,2019
SUMATERA SELATAN,128381,129424,-,90188,94735,-,104445,107685,-,2019
BENGKULU,144674,146663,-,123409,129890,-,130449,135407,-,2019
LAMPUNG,127707,132077,-,94425,97828,-,104689,108311,-,2019
KEP. BANGKA BELITUNG,190458,200912,-,178334,184681,-,185024,193549,-,2019
KEP. RIAU,204035,208017,-,144058,147937,-,198052,201968,-,2019
DKI JAKARTA,207345,211437,-,-,-,-,207345,211437,-,2019
JAWA BARAT,108134,110647,-,92689,95137,-,104505,107014,-,2019
JAWA TENGAH,102252,103546,-,92106,93750,-,97305,98776,-,2019
DI YOGYAKARTA,128992,133943,-,99749,106183,-,121079,126486,-,2019
JAWA TIMUR,105971,108014,-,91740,93809,-,99346,101415,-,2019
BANTEN,140545,148725,-,107604,110445,-,131126,137728,-,2019
BALI,130026,131942,-,113240,115867,-,124790,126986,-,2019
NUSA TENGGARA BARAT,102473,103921,-,93853,95683,-,98009,99662,-,2019
NUSA TENGGARA TIMUR,124193,130258,-,68332,69974,-,81617,84286,-,2019
KALIMANTAN BARAT,108409,110999,-,92007,95986,-,97773,101232,-,2019
KALIMANTAN TENGAH,100845,106567,-,85750,88855,-,91794,95993,-,2019
KALIMANTAN SELATAN,157348,161445,-,108587,116394,-,131631,137693,-,2019
KALIMANTAN TIMUR,191520,205447,-,156075,162946,-,179991,191850,-,2019
KALIMANTAN UTARA,183982,184597,-,156288,169923,-,173136,178863,-,2019
SULAWESI UTARA,92261,94021,-,77187,84147,-,85067,89301,-,2019
SULAWESI TENGAH,130498,131660,-,93145,99359,-,104297,108863,-,2019
SULAWESI SELATAN,100572,103663,-,68088,70484,-,82176,84729,-,2019
SULAWESI TENGGARA,94284,100880,-,73510,77510,-,81641,86578,-,2019
GORONTALO,83130,91439,-,68899,72832,-,74912,80678,-,2019
SULAWESI BARAT,67608,74540,-,75486,77679,-,73626,76976,-,2019
MALUKU,139398,146707,-,111187,118574,-,123475,130898,-,2019
MALUKU UTARA,121938,125670,-,89184,91693,-,98575,101087,-,2019
PAPUA BARAT,164353,169463,-,107703,115627,-,131510,138104,-,2019
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-,2019
PAPUA,194298,201039,-,111915,114082,-,135468,138869,-,2019
PAPUA SELATAN,-,-,-,-,-,-,-,-,-,2019
PAPUA TENGAH,-,-,-,-,-,-,-,-,-,2019
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-,2019
INDONESIA,125375,129160,-,95111,98495,-,112018,115627,-,2019
,Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah,,,,,,,,,2020
,Perkotaan,,,Perdesaan,,,Perkotaan+Perdesaan,,,2020
,2020,,,2020,,,2020,,,2020
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,2020
ACEH,143425,144182,-,116270,116847,-,125093,125892,-,2020
SUMATERA UTARA,141299,141850,-,108061,108091,-,126114,126619,-,2020
SUMATERA BARAT,151198,152458,-,112136,113254,-,130483,132291,-,2020
RIAU,170165,170891,-,131654,132088,-,147175,147436,-,2020
JAMBI,139066,140106,-,104118,104441,-,115405,116085,-,2020
SUMATERA SELATAN,131854,132409,-,100198,100455,-,112021,112549,-,2020
BENGKULU,149257,150379,-,131570,132162,-,137419,138121,-,2020
LAMPUNG,136066,137055,-,100624,101339,-,111581,112551,-,2020
KEP. BANGKA BELITUNG,203236,204588,-,189493,190676,-,197084,198343,-,2020
KEP. RIAU,210186,211289,-,152786,153682,-,204502,206721,-,2020
DKI JAKARTA,214245,215491,-,-,-,-,214245,215491,-,2020
JAWA BARAT,112943,113234,-,96838,98778,-,109182,109994,-,2020
JAWA TENGAH,106325,106941,-,96035,96317,-,101313,101781,-,2020
DI YOGYAKARTA,137118,138208,-,107028,107382,-,129019,130166,-,2020
JAWA TIMUR,110942,111109,-,96247,96788,-,104110,104574,-,2020
BANTEN,153303,155147,-,118175,118937,-,143367,144818,-,2020
BALI,135611,141701,-,120391,122774,-,130889,136013,-,2020
NUSA TENGGARA BARAT,105643,105923,-,99356,100231,-,102397,103023,-,2020
NUSA TENGGARA TIMUR,137255,138027,-,71183,71833,-,86875,88053,-,2020
KALIMANTAN BARAT,121023,122037,-,104237,105435,-,110125,111385,-,2020
KALIMANTAN TENGAH,113479,116294,-,95411,96873,-,102680,104754,-,2020
KALIMANTAN SELATAN,165897,167122,-,119592,121152,-,141449,143292,-,2020
KALIMANTAN TIMUR,212425,212738,-,169485,169549,-,198479,199033,-,2020
KALIMANTAN UTARA,188266,190960,-,172338,178749,-,181985,186264,-,2020
SULAWESI UTARA,95077,96428,-,84796,85659,-,90165,91444,-,2020
SULAWESI TENGAH,135083,136249,-,101230,103319,-,111340,113352,-,2020
SULAWESI SELATAN,105906,110314,-,71719,75132,-,86574,90832,-,2020
SULAWESI TENGGARA,101982,109035,-,78865,83714,-,87933,92645,-,2020
