,38 Provinsi,Perkotaan Semester 1 (Maret),Perkotaan Semester 2 (September),Unnamed: 4,Perdesaan Semester 2 (September),Perkotaan+Perdesaan Semester 1 (Maret),Perkotaan+Perdesaan Semester 2 (September),Tahun
275,SUMATERA BARAT,453326,490322,470942,500796,462910,495824,2022
276,RIAU,450681,486130,435905,468911,441535,475492,2022
277,JAMBI,478149,517739,380967,410425,411537,443292,2022
278,SUMATERA SELATAN,374346,400354,353000,368981,360600,379882,2022
279,BENGKULU,480128,508068,416744,437286,435393,457885,2022
280,LAMPUNG,412358,439148,372425,392553,384769,406732,2022
281,KEP. BANGKA BELITUNG,561881,605177,600254,641806,579537,622068,2022
282,KEP. RIAU,453563,486016,496488,525085,458362,491238,2022
283,DKI JAKARTA,508239,534819,-,-,508239,534819,2022
284,JAWA BARAT,331420,353253,343615,361697,334224,355172,2022
285,JAWA TENGAH,328539,350614,330526,348420,329511,349523,2022
286,DI YOGYAKARTA,392290,412821,338551,352689,378902,398363,2022
287,JAWA TIMUR,354405,374630,341452,361913,348399,368771,2022
288,BANTEN,421343,444996,387733,400849,412182,433368,2022
289,BALI,346903,367036,318169,334827,338417,357640,2022
290,NUSA TENGGARA BARAT,349371,373497,336060,361266,342789,367535,2022
291,NUSA TENGGARA TIMUR,402228,423538,344813,366047,358224,380566,2022
292,KALIMANTAN BARAT,418006,445660,387226,407998,397561,421139,2022
293,KALIMANTAN TENGAH,392777,416222,451136,478269,426914,453342,2022
294,KALIMANTAN SELATAN,379337,399109,411135,431084,396308,415976,2022
295,KALIMANTAN TIMUR,507661,541868,526674,556626,513874,546669,2022
296,KALIMANTAN UTARA,591239,616790,525335,548026,566292,590192,2022
297,SULAWESI UTARA,336174,357703,327019,348939,331904,353727,2022
298,SULAWESI TENGAH,388768,412305,410179,427956,404034,423390,2022
299,SULAWESI SELATAN,298268,316179,300359,316911,299433,316597,2022
300,SULAWESI TENGGARA,301800,324704,305321,327126,304126,326264,2022
301,GORONTALO,307264,321061,324541,342791,317319,333794,2022
302,SULAWESI BARAT,317189,334024,313544,327816,314221,329203,2022
303,MALUKU,460569,495440,473778,497638,468335,496691,2022
304,MALUKU UTARA,405708,429919,396637,420428,399127,423139,2022
305,PAPUA BARAT,509314,535410,500372,525865,503916,529916,2022
306,PAPUA BARAT DAYA,-,-,-,-,-,-,2022
307,PAPUA,456263,493024,476758,507226,471880,503948,2022
308,PAPUA SELATAN,-,-,-,-,-,-,2022
309,PAPUA TENGAH,-,-,-,-,-,-,2022
310,PAPUA PEGUNUNGAN,-,-,-,-,-,-,2022
311,INDONESIA,377958,401969,370096,391093,374454,397125,2022
312,ACEH,489121,-,469272,-,475838,-,2023
313,SUMATERA UTARA,468660,-,447262,-,458706,-,2023
314,SUMATERA BARAT,501157,-,512376,-,507000,-,2023
315,RIAU,495115,-,475721,-,483092,-,2023
316,JAMBI,527501,-,417580,-,452478,-,2023
317,SUMATERA SELATAN,405674,-,373072,-,384507,-,2023
318,BENGKULU,517906,-,443990,-,466693,-,2023
319,LAMPUNG,451741,-,401287,-,417252,-,2023
320,KEP. BANGKA BELITUNG,620744,-,656395,-,636311,-,2023
321,KEP. RIAU,497813,-,533241,-,501598,-,2023
322,DKI JAKARTA,548628,-,-,-,548628,-,2023
323,JAWA BARAT,365780,-,371463,-,367040,-,2023
