,38 Provinsi,Februari,Agustus,Tahun
436,KALIMANTAN BARAT,5.73,5.82,2021
437,KALIMANTAN TENGAH,4.25,4.53,2021
438,KALIMANTAN SELATAN,4.33,4.95,2021
439,KALIMANTAN TIMUR,6.81,6.83,2021
440,KALIMANTAN UTARA,4.67,4.58,2021
441,SULAWESI UTARA,7.28,7.06,2021
442,SULAWESI TENGAH,3.73,3.75,2021
443,SULAWESI SELATAN,5.79,5.72,2021
444,SULAWESI TENGGARA,4.22,3.92,2021
445,GORONTALO,3.41,3.01,2021
446,SULAWESI BARAT,3.28,3.13,2021
447,MALUKU,6.73,6.93,2021
448,MALUKU UTARA,5.06,4.71,2021
449,PAPUA BARAT,6.18,5.84,2021
450,PAPUA BARAT DAYA,6.3149999999999995,6.48,2021
451,PAPUA,3.77,3.33,2021
452,PAPUA SELATAN,4.825,4.05,2021
453,PAPUA TENGAH,3.02,2.75,2021
454,PAPUA PEGUNUNGAN,1.43,1.32,2021
455,INDONESIA,6.26,6.49,2021
456,SUMATERA UTARA,5.47,6.16,2022
457,SUMATERA BARAT,6.17,6.28,2022
458,RIAU,4.4,4.37,2022
459,JAMBI,4.7,4.59,2022
460,SUMATERA SELATAN,4.74,4.63,2022
461,BENGKULU,3.39,3.59,2022
462,LAMPUNG,4.31,4.52,2022
463,KEP. BANGKA BELITUNG,4.18,4.77,2022
464,KEP. RIAU,8.02,8.23,2022
465,DKI JAKARTA,8.0,7.18,2022
466,JAWA BARAT,8.35,8.31,2022
467,JAWA TENGAH,5.75,5.57,2022
468,DI YOGYAKARTA,3.73,4.06,2022
469,JAWA TIMUR,4.81,5.49,2022
470,BANTEN,8.53,8.09,2022
471,BALI,4.84,4.8,2022
472,NUSA TENGGARA BARAT,3.92,2.89,2022
473,NUSA TENGGARA TIMUR,3.3,3.54,2022
474,KALIMANTAN BARAT,4.86,5.11,2022
475,KALIMANTAN TENGAH,4.2,4.26,2022
476,KALIMANTAN SELATAN,4.2,4.74,2022
477,KALIMANTAN TIMUR,6.77,5.71,2022
478,KALIMANTAN UTARA,4.62,4.33,2022
479,SULAWESI UTARA,6.51,6.61,2022
480,SULAWESI TENGAH,3.67,3.0,2022
481,SULAWESI SELATAN,5.75,4.51,2022
482,SULAWESI TENGGARA,3.86,3.36,2022
483,GORONTALO,3.25,2.58,2022
484,SULAWESI BARAT,3.11,2.34,2022
485,MALUKU,6.44,6.88,2022
486,MALUKU UTARA,4.98,3.98,2022
487,PAPUA BARAT,5.78,5.37,2022
488,PAPUA BARAT DAYA,6.3149999999999995,6.48,2022
489,PAPUA,3.6,2.83,2022
490,PAPUA SELATAN,4.825,4.05,2022
491,PAPUA TENGAH,3.02,2.75,2022
492,PAPUA PEGUNUNGAN,1.43,1.32,2022
493,INDONESIA,5.83,5.86,2022
494,SUMATERA UTARA,5.24,5.89,2023
495,SUMATERA BARAT,5.9,5.94,2023
496,RIAU,4.25,4.23,2023
497,JAMBI,4.5,4.53,2023
498,SUMATERA SELATAN,4.53,4.11,2023
499,BENGKULU,3.21,3.42,2023
500,LAMPUNG,4.18,4.23,2023
501,KEP. BANGKA BELITUNG,3.89,4.56,2023
502,KEP. RIAU,7.61,6.8,2023
503,DKI JAKARTA,7.57,6.53,2023
504,JAWA BARAT,7.89,7.44,2023
505,JAWA TENGAH,5.24,5.13,2023
506,DI YOGYAKARTA,3.58,3.69,2023
507,JAWA TIMUR,4.33,4.88,2023
508,BANTEN,7.97,7.52,2023
509,BALI,3.73,2.69,2023
510,NUSA TENGGARA BARAT,3.73,2.8,2023
511,NUSA TENGGARA TIMUR,3.1,3.14,2023
512,KALIMANTAN BARAT,4.52,5.05,2023
513,KALIMANTAN TENGAH,3.84,4.1,2023
514,KALIMANTAN SELATAN,3.95,4.31,2023
515,KALIMANTAN TIMUR,6.37,5.31,2023
516,KALIMANTAN UTARA,4.1,4.01,2023
517,SULAWESI UTARA,6.19,6.1,2023
518,SULAWESI TENGAH,3.49,2.95,2023
519,SULAWESI SELATAN,5.26,4.33,2023
520,SULAWESI TENGGARA,3.66,3.15,2023
521,GORONTALO,3.07,3.06,2023
522,SULAWESI BARAT,3.04,2.27,2023
523,MALUKU,6.08,6.31,2023
524,MALUKU UTARA,4.6,4.31,2023
525,PAPUA BARAT,5.53,5.38,2023
526,PAPUA BARAT DAYA,6.3149999999999995,6.48,2023
527,PAPUA,3.49,2.67,2023
528,PAPUA SELATAN,4.825,4.05,2023
529,PAPUA TENGAH,3.02,2.75,2023
530,PAPUA PEGUNUNGAN,1.43,1.32,2023
531,INDONESIA,5.45,5.32,2023
532,SUMATERA UTARA,5.1,5.6,2024
533,SUMATERA BARAT,5.79,5.75,2024
534,RIAU,3.85,3.7,2024
535,JAMBI,4.45,4.48,2024
536,SUMATERA SELATAN,3.97,3.86,2024
537,BENGKULU,3.17,3.11,2024
538,LAMPUNG,4.12,4.19,2024
539,KEP. BANGKA BELITUNG,3.85,4.63,2024
540,KEP. RIAU,6.94,6.39,2024
541,DKI JAKARTA,6.03,6.21,2024
542,JAWA BARAT,6.91,6.75,2024
543,JAWA TENGAH,4.39,4.78,2024
544,DI YOGYAKARTA,3.24,3.48,2024
545,JAWA TIMUR,3.74,4.19,2024
546,BANTEN,7.02,6.68,2024
547,BALI,1.87,1.79,2024
548,NUSA TENGGARA BARAT,3.3,2.73,2024
549,NUSA TENGGARA TIMUR,3.17,3.02,2024
550,KALIMANTAN BARAT,4.2,4.86,2024
551,KALIMANTAN TENGAH,3.67,4.01,2024
552,KALIMANTAN SELATAN,3.89,4.2,2024
553,KALIMANTAN TIMUR,5.75,5.14,2024
554,KALIMANTAN UTARA,4.01,3.9,2024
555,SULAWESI UTARA,5.98,5.85,2024
556,SULAWESI TENGAH,3.15,2.94,2024
557,SULAWESI SELATAN,4.9,4.19,2024
558,SULAWESI TENGGARA,3.22,3.09,2024
559,GORONTALO,3.05,3.13,2024
560,SULAWESI BARAT,3.02,2.68,2024
561,MALUKU,5.96,6.11,2024
562,MALUKU UTARA,4.16,4.03,2024
563,PAPUA BARAT,4.31,4.13,2024
564,PAPUA BARAT DAYA,6.02,6.48,2024
565,PAPUA,5.81,6.48,2024
566,PAPUA SELATAN,4.75,4.05,2024
567,PAPUA TENGAH,2.49,2.75,2024
568,PAPUA PEGUNUNGAN,1.18,1.32,2024
569,INDONESIA,4.82,4.91,2024
570,SUMATERA UTARA,5.05,6.303333333333334,2025
571,SUMATERA BARAT,5.69,6.3406666666666665,2025
572,RIAU,4.12,5.832,2025
573,JAMBI,4.48,4.458666666666667,2025
574,SUMATERA SELATAN,3.89,5.024666666666667,2025
575,BENGKULU,3.24,3.743333333333333,2025
576,LAMPUNG,4.07,4.806,2025
577,KEP. BANGKA BELITUNG,4.17,4.387333333333333,2025
578,KEP. RIAU,6.89,7.196,2025
579,DKI JAKARTA,6.18,8.170666666666667,2025
580,JAWA BARAT,6.74,8.790666666666668,2025
581,JAWA TENGAH,4.33,5.439333333333334,2025
582,DI YOGYAKARTA,3.18,3.818,2025
