,Provinsi (PDRB),Pengeluaran Konsumsi Rumah Tangga Triwulan I,Pengeluaran Konsumsi Rumah Tangga Triwulan II,Pengeluaran Konsumsi Rumah Tangga Triwulan III,Pengeluaran Konsumsi Rumah Tangga Triwulan IV,Pengeluaran Konsumsi Rumah Tangga Tahunan,Pengeluaran Konsumsi LNPRT Triwulan I,Pengeluaran Konsumsi LNPRT Triwulan II,Pengeluaran Konsumsi LNPRT Triwulan III,Pengeluaran Konsumsi LNPRT Triwulan IV,Pengeluaran Konsumsi LNPRT Tahunan,Pengeluaran Konsumsi Pemerintah Triwulan I,Pengeluaran Konsumsi Pemerintah Triwulan II,Pengeluaran Konsumsi Pemerintah Triwulan III,Pengeluaran Konsumsi Pemerintah Triwulan IV,Pengeluaran Konsumsi Pemerintah Tahunan,Pembentukan Modal Tetap Bruto Triwulan I,Pembentukan Modal Tetap Bruto Triwulan II,Pembentukan Modal Tetap Bruto Triwulan III,Pembentukan Modal Tetap Bruto Triwulan IV,Pembentukan Modal Tetap Bruto Tahunan,Perubahan Inventori Triwulan I,Perubahan Inventori Triwulan II,Perubahan Inventori Triwulan III,Perubahan Inventori Triwulan IV,Perubahan Inventori Tahunan,Net Ekspor Triwulan I,Net Ekspor Triwulan II,Net Ekspor Triwulan III,Net Ekspor Triwulan IV,Net Ekspor Tahunan,PDRB Triwulan I,PDRB Triwulan II,PDRB Triwulan III,PDRB Triwulan IV,PDRB Tahunan,Tahun
211,BALI,20465.91,21041.31,21823.78,22579.96,85910.95,507.95,526.7,555.15,607.31,2197.12,2349.28,4304.75,4822.65,6274.0,17750.68,12940.29,13419.28,14106.12,14867.34,55333.04,77.67,90.26,94.95,95.18,358.06,5412.18,3951.37,3689.91,1809.36,14862.81,41753.28,43333.68,45092.56,46233.15,176412.67,2015
212,NUSA TENGGARA BARAT,16232.09,16267.68,16676.79,16844.93,66021.5,357.68,360.35,383.11,411.23,1512.38,3761.31,3887.74,4153.65,5059.63,16862.33,8521.99,8645.14,9126.71,9829.09,36122.92,103.22,183.02,186.56,160.15,632.95,-4911.86,-3640.13,-1482.96,-5452.39,-15487.34,24064.42,25703.8,29043.87,26852.65,105664.74,2015
213,NUSA TENGGARA TIMUR,13101.66,13597.33,14473.24,15679.23,56851.47,536.54,603.75,671.52,727.6,2539.41,2846.96,5130.29,7318.85,6794.98,22091.09,6422.75,7592.12,8153.72,8827.48,30996.06,90.54,210.96,213.78,181.57,696.85,-5571.84,-8657.51,-10891.68,-11933.05,-37054.09,17426.61,18476.94,19939.43,20277.81,76120.79,2015
214,KALIMANTAN BARAT,19479.1,20039.71,20467.11,20948.31,80934.23,380.03,396.42,405.27,447.38,1629.1,3380.13,4354.76,4995.27,6579.18,19309.34,11795.32,11962.77,13110.78,14185.8,51054.67,835.34,556.14,772.77,-272.47,1891.78,-854.6,-1927.95,-2385.76,-2997.27,-8165.57,35015.32,35381.85,37365.45,38890.93,146653.55,2015
215,KALIMANTAN TENGAH,10056.49,10406.58,10883.04,11072.5,42418.62,304.35,314.79,340.83,382.34,1342.32,3522.2,3788.3,4054.17,4379.79,15744.46,10723.03,11048.12,11482.83,12289.44,45543.42,319.88,332.52,422.04,498.09,1572.52,-877.85,-1383.26,-1617.25,-2679.44,-6557.81,24048.1,24507.05,25565.65,25942.71,100063.52,2015
216,KALIMANTAN SELATAN,15587.65,15800.23,16185.93,16368.28,63942.09,284.67,315.86,342.47,357.55,1300.56,3307.33,4375.56,4827.36,5720.27,18230.52,7251.01,7684.85,8229.57,9015.97,32181.4,-741.82,689.69,305.26,-174.39,78.74,5802.78,5162.63,6533.22,3824.19,21322.82,31491.62,34028.82,36423.81,35111.86,137056.12,2015
217,KALIMANTAN TIMUR,20931.1,21392.14,22279.14,22183.84,86786.22,536.71,639.16,621.56,662.76,2460.19,2293.17,5049.99,6037.4,12569.15,25949.72,34607.62,37175.55,37863.32,36119.99,145766.48,1337.57,2438.36,1187.97,807.97,5771.87,65748.92,60737.65,58797.83,53086.17,238370.58,125455.1,127432.86,126787.22,125429.88,505105.06,2015
218,KALIMANTAN UTARA,2924.91,3014.53,3150.28,3154.0,12243.72,118.31,140.32,136.08,144.9,539.61,649.17,1436.27,1726.9,3072.48,6884.84,4776.79,5326.73,5578.18,5462.37,21144.07,247.05,407.51,172.92,108.13,935.61,6537.96,5072.98,4839.92,3523.68,19974.54,15254.2,15398.34,15604.29,15465.57,61722.39,2015
219,SULAWESI UTARA,9698.81,10129.55,10692.37,11285.39,41806.11,406.75,427.11,454.44,504.06,1792.36,3559.56,3717.74,4107.07,4883.46,16267.83,6484.22,7291.1,8054.66,9206.62,31036.59,3.75,4.17,5.86,6.15,19.93,87.25,444.8,197.77,-506.98,222.85,20240.34,22014.48,23512.16,25378.7,91145.68,2015
220,SULAWESI TENGAH,13277.54,13720.3,14071.39,14765.07,55834.3,440.65,470.5,509.9,551.95,1973.01,3315.35,3631.35,4001.8,4421.26,15369.76,11024.37,11280.21,11608.16,12773.38,46686.13,328.26,1003.37,1103.37,962.7,3397.7,-3051.38,-4205.83,-3948.73,-4481.48,-15687.42,25334.8,25899.9,27345.9,28992.88,107573.47,2015
221,SULAWESI SELATAN,44412.36,45495.35,47241.59,48436.24,185585.54,1004.14,1031.31,1085.21,1145.24,4265.9,4955.93,7997.35,9210.23,14233.11,36396.62,28204.79,29980.61,32660.8,35142.97,125989.17,896.37,2010.47,1838.03,896.37,5641.24,-1036.37,-2503.33,-490.32,-13458.24,-17488.26,78437.21,84011.76,91545.55,86395.69,340390.21,2015
222,SULAWESI TENGGARA,10504.5,10730.56,11318.64,11538.56,44092.26,199.61,205.07,230.34,251.02,886.04,2538.97,3170.38,3475.5,3918.43,13103.28,7235.67,8080.19,8775.14,9858.62,33949.62,184.4,187.01,92.95,-46.63,417.73,-538.66,-754.78,-1159.63,-2281.39,-4734.46,20124.48,21618.43,22732.94,23238.61,87714.48,2015
223,GORONTALO,4165.0,4290.82,4489.58,4538.26,17483.65,45.68,48.51,50.71,52.05,196.96,1193.73,1712.39,1891.61,2011.33,6809.07,2063.39,2149.94,2293.6,2469.68,8976.61,154.77,145.25,129.2,69.31,498.52,-857.11,-1450.45,-1359.32,-1804.52,-5471.39,6765.46,6896.46,7495.38,7336.11,28493.42,2015
224,SULAWESI BARAT,4084.54,4189.12,4442.56,4502.8,17219.02,58.47,60.56,62.82,64.67,246.52,875.53,1284.55,1571.94,2294.21,6026.23,2204.17,2303.1,2453.11,2603.22,9563.6,213.83,167.13,-179.84,-167.52,33.6,93.33,236.86,87.02,-518.62,-101.42,7529.86,8241.32,8437.62,8778.75,32987.55,2015
225,MALUKU,5520.68,5791.38,6105.0,6631.35,24048.41,173.21,179.77,187.86,208.12,748.97,2923.43,3262.56,3584.46,4004.55,13775.0,2180.93,2335.28,2450.2,2687.66,9654.06,40.18,41.94,43.55,43.91,169.59,-2697.75,-3151.75,-3659.6,-4540.98,-14050.08,8140.69,8459.19,8711.47,9034.61,34345.96,2015
226,MALUKU UTARA,3724.79,3786.44,3944.72,4008.61,15464.57,76.24,78.12,82.32,84.26,320.93,1778.6,1980.07,2290.84,2807.07,8856.58,1700.78,1749.85,1838.99,1955.89,7245.51,20.32,67.91,-246.5,-212.72,-370.99,-947.43,-1101.73,-1098.5,-1730.63,-4878.29,6353.31,6560.65,6811.86,6912.49,26638.3,2015
227,PAPUA BARAT,3854.71,4020.18,4281.19,4417.22,16573.31,126.92,138.38,149.37,169.69,584.36,2650.26,3003.69,3325.32,4003.39,12982.66,3034.87,3187.39,3377.34,3516.5,13116.11,-609.72,737.67,546.81,645.47,1320.22,6228.28,4236.75,4366.3,3480.03,18311.36,15285.33,15324.06,16046.34,16232.31,62888.03,2015
228,PAPUA BARAT DAYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015
229,PAPUA,17104.86,17441.06,18104.8,19048.49,71699.21,685.97,710.01,738.3,774.06,2908.33,7601.12,7882.96,8380.58,10204.99,34069.65,10968.79,11373.26,11882.1,12572.28,46796.44,-80.72,386.93,-56.73,-427.17,-177.69,-1832.72,362.12,-1757.27,-1760.8,-4988.66,34447.3,38156.35,37291.79,40411.85,150307.28,2015
230,PAPUA SELATAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015
231,PAPUA TENGAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015
232,PAPUA PEGUNUNGAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015
233,TOTAL,1541005.86,1579046.14,1641665.63,1668282.07,6429999.7,31105.71,32545.34,33979.3,35531.75,133162.1,184140.87,253280.26,291880.12,384472.21,1113773.45,873177.96,913457.91,950680.57,990834.62,3728151.06,54231.55,64662.25,50962.88,15260.51,185117.18,91772.61,36871.51,31089.45,-97251.13,62482.44,2775434.55,2879863.41,3000257.96,2997130.03,11652685.94,2015
234,ACEH,16345.62,16562.81,16668.7,16757.92,66335.06,510.64,525.81,536.56,556.27,2129.28,2861.63,4938.88,4317.39,7812.36,19930.25,9615.23,9853.37,10324.6,10804.85,40598.05,8.77,3.79,9.99,6.11,28.66,-934.52,-3246.56,-2295.89,-6170.02,-12647.0,28407.37,28638.09,29561.35,29767.49,116374.3,2016
235,SUMATERA UTARA,57915.39,58581.9,59910.77,60739.3,237147.36,1146.89,1160.34,1179.25,1197.38,4683.87,6853.2,7635.49,7669.28,8775.15,30933.13,33036.35,33556.64,34220.71,34394.28,135207.98,1954.45,1953.01,2035.47,1854.5,7797.44,12422.79,11615.77,12917.47,11049.66,48005.69,113329.08,114503.15,117932.96,118010.27,463775.46,2016
236,SUMATERA BARAT,18633.93,18878.4,19354.74,19412.8,76279.87,401.42,410.24,411.33,411.85,1634.84,3097.91,4171.28,4155.94,6342.99,17768.11,10600.78,10964.08,11080.1,11576.72,44221.67,463.22,251.32,-4.46,172.14,882.22,2749.36,2118.35,2568.01,-88.19,7347.53,35946.61,36793.66,37565.66,37828.31,148134.24,2016
237,RIAU,38380.83,38900.08,39581.64,39995.28,156857.84,507.32,516.25,526.01,537.14,2086.73,3899.55,4432.11,4410.56,5640.9,18383.13,33251.48,34102.06,35388.55,36964.31,139706.39,1228.0,1153.0,940.42,875.42,4196.84,33389.55,33493.79,35335.35,35319.73,137538.42,110656.73,112597.29,116182.54,119332.78,458769.34,2016
238,JAMBI,14069.16,14256.73,14630.15,14653.54,57609.58,159.67,163.04,169.51,176.7,668.92,1550.05,1969.64,2244.14,3990.58,9754.41,6375.99,6606.96,7529.49,8526.54,29038.99,470.39,691.85,645.95,-551.56,1256.63,9154.57,8657.71,7537.98,6822.34,32172.6,31779.84,32345.92,32757.23,33618.14,130501.13,2016
239,SUMATERA SELATAN,42078.3,42434.89,42914.4,43104.66,170532.25,1005.53,1011.59,1029.67,1031.5,4078.29,3934.0,5084.06,4143.06,5398.36,18559.48,24139.13,24812.84,25836.6,26521.33,101309.9,277.05,267.72,87.42,-510.93,121.26,-7151.1,-7026.95,-4906.43,-8659.3,-27743.78,64282.9,66584.16,69104.72,66885.62,266857.4,2016
240,BENGKULU,6203.03,6313.07,6409.12,6478.71,25403.93,254.76,257.63,263.74,278.38,1054.52,1789.1,1995.45,1913.97,2054.11,7752.62,4026.02,4184.23,4401.41,4792.68,17404.35,181.52,168.59,181.22,173.39,704.71,-2664.31,-3014.17,-3087.15,-3477.96,-12243.58,9790.13,9904.8,10082.31,10299.31,40076.54,2016
241,LAMPUNG,30297.77,31037.46,31990.48,32017.28,125342.98,589.31,623.89,674.53,772.17,2659.9,3053.63,4139.24,4232.52,6047.66,17473.05,17198.77,16372.78,15957.14,18250.7,67779.4,81.17,147.59,79.55,113.58,421.89,-151.16,974.66,2143.87,-6850.87,-3883.49,51069.49,53295.62,55078.09,50350.53,209793.73,2016
242,KEP. BANGKA BELITUNG,6117.55,6240.61,6320.43,6348.65,25027.25,73.91,75.11,76.3,76.96,302.28,1097.92,1237.82,1227.39,1305.39,4868.52,2503.62,2599.65,2667.69,2679.98,10450.94,154.62,99.5,176.94,78.51,509.58,1634.43,1641.8,1593.95,1819.63,6689.8,11582.06,11894.48,12062.71,12309.13,47848.37,2016
243,KEP. RIAU,14727.59,15229.94,15412.61,15631.69,61001.83,80.95,85.57,87.0,89.37,342.9,1014.05,1898.44,2121.6,3811.22,8845.3,14649.82,16267.88,15295.14,16371.95,62584.78,175.19,180.86,170.28,-93.56,432.76,9017.86,6837.96,8013.89,5775.76,29645.46,39665.45,40500.65,41100.51,41586.42,162853.04,2016
244,DKI JAKARTA,218162.9,221871.35,227095.73,230829.05,897959.03,6926.27,7153.54,7805.65,8221.92,30107.39,26546.52,43580.84,44088.45,62775.87,176991.68,161202.6,165706.81,167836.3,169992.98,664738.69,16950.2,-900.05,-1407.71,-17111.5,-2469.06,-57415.88,-55471.71,-54875.07,-59648.17,-227410.84,372372.6,381940.78,390543.34,395060.15,1539916.88,2016
245,JAWA BARAT,195214.88,197955.11,202591.84,204250.27,800012.1,1856.97,1858.93,1881.24,1890.29,7487.44,12872.92,15403.66,15581.99,22234.58,66093.15,72912.93,78008.02,78575.69,83587.05,313083.7,10407.72,11302.88,11794.32,11093.46,44598.38,13995.08,14513.67,15340.47,495.26,44344.48,307260.5,319042.27,325765.56,323550.91,1275619.24,2016
246,JAWA TENGAH,124096.59,126059.94,129081.98,128866.42,508104.94,2108.63,2111.02,2116.45,2162.87,8498.97,9080.39,13459.92,13326.38,21915.55,57782.24,58520.93,60316.79,62057.59,65351.77,246247.09,3703.02,3808.1,2727.68,-2662.62,7576.17,8503.1,6710.96,8615.05,-2939.15,20889.95,206012.65,212466.73,217925.13,212694.84,849099.35,2016
247,DI YOGYAKARTA,12630.12,13037.76,13503.84,13447.44,52619.16,571.23,583.53,590.17,617.41,2362.34,2788.72,3130.06,3082.92,3948.04,12949.75,5106.66,5449.23,5943.91,7117.14,23616.95,487.22,507.07,-38.39,89.26,1045.16,-216.48,-1323.15,-564.37,-2803.56,-4907.56,21367.48,21384.51,22518.09,22415.73,87685.81,2016
248,JAWA TIMUR,206475.31,209530.53,214950.36,214914.2,845870.4,3466.44,3515.47,3641.16,3583.23,14206.3,11608.17,16486.98,17714.03,19430.36,65239.54,92239.07,95352.43,99187.9,99930.0,386709.4,4058.34,4098.1,7582.15,1925.85,17664.44,20446.5,21346.4,19476.39,14604.15,75873.43,338293.82,350329.92,362551.99,354387.78,1405563.51,2016
249,BANTEN,54558.21,55555.53,56780.17,57218.06,224111.97,470.0,481.3,493.19,503.76,1948.24,3178.26,3663.75,3889.11,5475.16,16206.29,27456.54,28244.73,29081.49,31094.51,115877.26,274.41,-125.34,-113.67,73.9,109.3,7854.06,8481.3,8385.04,4861.61,29582.02,93791.49,96301.26,98515.33,99227.01,387835.09,2016
250,BALI,17870.67,18344.74,18408.37,18606.11,73229.89,386.8,417.24,436.82,439.78,1680.65,1839.35,3542.46,3541.41,4833.75,13756.97,10915.53,11146.04,11341.23,11627.93,45030.74,54.9,48.75,61.61,59.3,224.56,1817.05,447.56,1211.52,-102.5,3373.64,32884.32,33946.79,35000.97,35464.37,137296.45,2016
251,NUSA TENGGARA BARAT,13449.05,13534.25,13603.22,13741.6,54328.12,306.51,308.73,312.66,315.4,1243.29,2740.68,2849.88,2792.63,3074.4,11457.58,6582.05,6792.71,7003.91,7330.97,27709.65,69.84,94.02,106.64,106.19,376.69,-505.55,21.78,1339.43,-1446.71,-591.04,22642.59,23601.38,25158.48,23121.84,94524.29,2016
252,NUSA TENGGARA TIMUR,10886.4,11165.01,11834.38,12302.62,46188.41,457.53,491.97,530.48,577.94,2057.91,2428.28,3965.9,5205.34,5086.51,16686.03,6233.74,6781.22,7597.8,8128.91,28741.68,15.39,86.43,89.14,106.71,297.68,-5995.86,-7817.09,-9787.05,-10693.7,-34293.7,14025.49,14673.44,15470.1,15508.99,59678.01,2016
253,KALIMANTAN BARAT,15581.59,15778.89,15989.49,15793.33,63143.29,305.48,316.86,318.92,334.59,1275.85,2774.69,3421.21,3346.78,4064.22,13606.89,9393.41,8946.63,9896.27,10165.91,38402.22,697.96,248.09,380.24,-451.07,875.22,393.6,-260.14,208.79,537.56,879.81,29146.72,28451.53,30140.49,30444.53,118183.27,2016
254,KALIMANTAN TENGAH,8227.5,8267.49,8395.23,8475.43,33365.65,270.15,272.94,275.68,278.37,1097.14,2724.14,2978.91,2898.42,3050.79,11652.26,8443.53,8794.91,9228.83,9368.57,35835.84,278.09,280.66,276.41,205.11,1040.27,451.62,-3.4,156.51,304.36,909.08,20395.02,20591.51,21231.08,21682.63,83900.24,2016
255,KALIMANTAN SELATAN,13251.02,13475.2,13743.79,13740.37,54210.38,234.88,251.24,264.2,281.03,1031.35,2471.3,3346.21,3061.8,4015.25,12894.55,5992.87,6246.83,6378.94,6837.19,25455.83,407.63,199.09,-417.27,-833.87,-644.42,4577.58,5512.14,7061.14,5645.02,22795.88,26935.28,29030.71,30092.6,29684.98,115743.57,2016
256,KALIMANTAN TIMUR,16189.52,16279.06,16305.02,16393.93,65167.54,414.86,436.66,415.76,431.41,1698.7,1780.96,3364.43,3114.17,6262.71,14522.27,25744.95,26263.64,28745.8,27651.17,108405.55,329.32,335.21,324.43,313.88,1302.84,64159.31,62241.58,60346.02,61160.02,247906.94,108618.92,108920.58,109251.19,112213.14,439003.83,2016
257,KALIMANTAN UTARA,2147.47,2178.26,2200.6,2208.51,8734.84,84.62,94.02,91.51,97.29,367.43,520.18,928.88,870.46,1627.65,3947.17,3976.02,3924.32,4228.44,4189.04,16317.82,115.48,86.98,77.27,83.31,363.04,5576.69,5423.52,5395.97,4938.26,21334.44,12420.46,12635.98,12864.24,13144.06,51064.74,2016
258,SULAWESI UTARA,8521.94,8773.98,9051.39,9435.85,35783.16,352.43,365.56,380.54,400.85,1499.38,2908.46,3216.25,3176.03,3485.02,12785.76,6196.13,6763.81,7052.8,7697.75,27710.48,-1.29,2.55,3.32,3.29,7.87,-1032.18,-882.2,-571.09,-536.54,-3022.0,16945.49,18239.95,19092.99,20486.22,74764.66,2016
259,SULAWESI TENGAH,10793.48,10934.45,11169.31,11404.17,44301.41,370.71,380.09,390.93,401.76,1543.5,1697.44,2700.8,2528.17,3773.92,10700.33,9120.51,9270.22,10168.18,11405.76,39964.67,682.77,818.21,820.21,821.21,3142.41,-459.87,-1056.86,-2393.36,-4727.67,-8637.75,22205.05,23046.92,22683.44,23079.16,91014.56,2016
260,SULAWESI SELATAN,34541.21,35134.49,35921.17,36194.61,141791.48,743.05,753.82,771.79,778.1,3046.76,3750.2,6216.68,6094.04,9005.72,25066.64,24379.78,25583.39,26636.38,27257.64,103857.19,1011.21,853.41,781.8,684.22,3330.64,-1310.67,-1096.63,1038.1,-6322.19,-7691.4,63114.79,67445.15,71243.28,67598.09,269401.31,2016
261,SULAWESI TENGGARA,8988.63,9166.88,9419.44,9498.49,37073.44,188.68,193.72,202.67,211.42,796.49,2277.64,2886.05,2814.67,3081.25,11059.61,7236.44,7880.59,8195.39,8936.1,32248.52,-16.06,127.21,160.85,115.75,387.75,-757.61,-932.88,-869.98,-1259.82,-3820.3,17917.73,19321.56,19923.03,20583.19,77745.51,2016
262,GORONTALO,3455.08,3546.26,3639.46,3651.05,14291.85,39.64,41.83,43.02,44.59,169.08,930.87,1378.62,1241.44,1398.66,4949.58,1837.7,1900.16,1950.06,2033.38,7721.29,184.63,78.34,84.63,45.83,393.43,-723.87,-1227.38,-822.94,-1243.83,-4018.02,5724.04,5717.82,6135.68,5929.67,23507.21,2016
263,SULAWESI BARAT,3403.45,3517.26,3537.75,3507.99,13966.45,48.3,49.21,51.35,52.39,201.24,636.75,1108.04,1231.21,1646.93,4622.93,1854.86,1961.67,2049.81,2118.04,7984.38,66.51,-157.06,-66.8,124.1,-33.25,352.82,289.24,197.94,-56.99,783.02,6362.69,6768.35,7001.27,7392.45,27524.77,2016
264,MALUKU,4211.94,4343.33,4431.74,4610.72,17597.74,144.67,150.04,158.05,169.15,621.91,2375.35,2509.02,2654.05,2907.88,10446.3,1919.35,1982.17,2073.24,2202.25,8177.01,31.98,32.35,32.22,32.7,129.25,-2377.05,-2513.36,-2721.77,-3075.8,-10687.98,6306.24,6503.54,6627.55,6846.91,26284.23,2016
265,MALUKU UTARA,3076.43,3112.02,3170.09,3171.18,12529.73,63.69,64.94,66.38,66.92,261.92,1417.0,1569.15,1564.34,1878.18,6428.67,1523.66,1559.47,1584.68,1746.82,6414.64,57.66,115.25,-12.05,4.63,165.5,-961.62,-1079.85,-894.58,-1307.72,-4243.77,5176.82,5340.98,5478.86,5560.01,21556.68,2016
266,PAPUA BARAT,3440.17,3480.16,3673.32,3718.66,14312.32,109.3,111.78,111.72,131.71,464.52,2023.53,2181.35,2373.54,2708.42,9286.84,2470.02,2558.16,2657.74,2786.39,10472.31,-463.15,775.34,618.63,998.75,1929.56,5846.59,3931.87,4461.87,4005.4,18245.73,13426.46,13038.66,13896.82,14349.34,54711.28,2016
267,PAPUA BARAT DAYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
268,PAPUA,13641.7,13956.83,14359.52,14764.65,56722.7,543.54,544.45,563.92,598.81,2250.72,5864.65,6075.27,6196.41,7466.57,25602.9,9021.66,9289.31,9516.81,9996.45,37824.23,-74.46,188.63,-46.78,96.21,163.6,727.54,1868.79,8119.78,8944.67,19660.78,29724.63,31923.28,38709.67,41867.35,142224.93,2016
269,PAPUA SELATAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
270,PAPUA TENGAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
271,PAPUA PEGUNUNGAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
272,TOTAL,1247584.45,1267434.68,1296050.29,1305884.53,5116953.96,25194.78,25778.36,26868.18,27718.72,105560.05,136387.49,187466.72,188823.64,256326.1,769003.95,715678.12,740043.75,761690.63,789437.07,3006849.57,44323.72,27821.44,28141.65,-1957.81,98329.0,120412.37,109176.49,127674.86,44872.74,402136.47,2289580.94,2357721.45,2429249.26,2422281.36,9498833.0,2016
273,ACEH,22185.8,22702.47,23185.96,23694.73,91768.96,777.59,765.2,786.19,784.94,3113.92,4481.89,7314.86,7640.49,14620.77,34058.02,12105.99,11653.6,13758.55,13885.18,51403.32,-41.2,-15.27,-42.96,-24.69,-124.12,-4350.57,-6612.52,-8069.41,-15380.67,-34413.18,35159.49,35808.35,37258.83,37580.25,145806.92,2017
274,SUMATERA UTARA,87839.5,89636.44,91935.47,94645.99,364057.39,1486.1,1512.78,1531.45,1527.91,6058.24,10862.88,12157.85,13379.77,15437.62,51838.13,51000.31,52392.86,54194.67,55774.52,213362.36,2570.43,2520.43,1448.27,1514.75,8053.87,10231.09,10070.97,12317.22,8645.15,41264.43,163990.31,168291.33,174806.84,177545.95,684634.43,2017
275,SUMATERA BARAT,27200.66,27774.13,28701.08,29030.16,112706.03,559.57,558.79,568.41,564.15,2250.92,4493.44,6419.66,6936.55,9044.48,26894.12,15358.67,15644.06,16326.86,16691.34,64020.92,-179.11,53.51,414.44,-144.19,144.66,4060.15,2423.13,1349.9,43.62,7876.81,51493.38,52873.28,54297.25,55229.56,213893.47,2017
276,RIAU,63264.14,64693.78,65259.45,65784.93,259002.3,822.94,852.53,864.64,875.44,3415.55,5625.14,6332.12,6480.73,8322.73,26760.72,55929.06,56838.13,59643.27,61970.62,234381.08,1545.55,861.51,1277.44,1371.97,5056.47,44333.8,41857.63,43636.25,46261.24,176088.91,171520.61,171435.7,177161.77,184586.94,704705.03,2017
277,JAMBI,20066.58,20627.73,21203.71,21376.28,83274.31,219.64,235.54,240.54,254.65,950.36,2325.79,3549.23,3767.2,6294.42,15936.63,9421.32,9662.77,10638.78,11409.08,41131.95,-346.4,1050.79,-714.41,986.38,976.36,14171.38,11099.17,12564.87,9682.69,47518.11,45858.31,46225.23,47700.68,50003.49,189787.72,2017
278,SUMATERA SELATAN,62980.49,63938.13,64993.02,65365.48,257277.12,1394.99,1455.12,1421.29,1417.24,5688.64,5723.42,6837.37,7297.36,10044.42,29902.58,33520.71,35078.3,37830.17,40568.85,146998.04,107.94,600.15,217.97,-736.42,189.64,-12636.28,-12936.35,-12275.7,-19321.97,-57170.31,91091.27,94972.72,99484.11,97337.6,382885.7,2017
279,BENGKULU,9598.0,9782.45,9890.56,10030.79,39301.82,355.99,361.6,358.37,374.1,1450.05,2643.95,2970.23,3044.61,3370.01,12028.8,5847.39,6013.59,6336.82,6865.65,25063.45,303.26,289.48,296.66,307.33,1196.73,-4128.03,-4470.67,-4616.15,-5168.31,-18383.16,14620.55,14946.67,15310.87,15779.58,60657.68,2017
280,LAMPUNG,43834.45,45376.83,46248.66,46943.71,182403.66,1057.97,1089.93,1112.84,1278.55,4539.29,4527.29,5916.83,6658.19,9525.66,26627.97,22013.81,23766.77,23648.31,27070.37,96499.26,252.78,438.6,253.86,341.35,1286.59,2562.26,1229.18,2792.05,-11239.82,-4656.33,74248.57,77818.14,80713.9,73919.82,306700.43,2017
281,KEP. BANGKA BELITUNG,9685.13,10004.82,10209.66,10407.68,40307.29,118.01,121.23,124.79,126.69,490.73,1759.6,1935.02,1980.8,2015.86,7691.27,4386.13,4547.04,4572.95,4873.1,18379.22,-64.07,406.34,93.52,63.63,499.43,1167.42,488.13,534.19,307.54,2497.27,17052.22,17502.59,17515.9,17794.5,69865.21,2017
282,KEP. RIAU,22023.44,22926.42,23529.76,23964.49,92444.11,129.83,134.44,142.33,149.92,556.52,1585.06,2897.51,3780.45,6474.13,14737.15,23996.86,23913.32,24525.09,24903.56,97338.84,-150.56,176.28,283.76,72.24,381.73,7360.02,5882.64,5504.81,3501.07,22248.53,54944.66,55930.6,57766.2,59065.41,227706.88,2017
283,DKI JAKARTA,345944.43,353973.56,363830.32,373513.5,1437261.81,11564.12,11686.72,11842.58,12095.98,47189.4,42576.72,69313.92,72509.53,122459.58,306859.75,215349.52,220460.81,238404.35,245332.56,919547.24,65755.6,-21158.15,8318.85,-32545.78,20370.52,-114869.01,-51362.97,-90506.76,-109136.13,-365874.88,566321.37,582913.89,604398.88,611719.71,2365353.85,2017
284,JAWA BARAT,282523.44,289053.62,296112.93,301677.4,1169367.39,2457.13,2531.57,2594.57,2866.76,10450.02,14710.57,27547.31,27205.14,38476.48,107939.5,101546.38,108240.87,114619.53,124930.27,449337.05,17027.06,16793.45,16710.64,17209.32,67740.46,7550.94,2120.96,1530.3,-27919.26,-16717.06,425815.52,446287.78,458773.11,457240.96,1788117.36,2017
285,JAWA TENGAH,172549.76,176633.41,180244.58,182158.76,711586.51,3176.1,3329.47,3284.37,3378.47,13168.41,14006.38,20360.69,23064.48,36830.01,94261.56,84795.53,89287.96,94088.97,98594.0,366766.47,7309.96,6406.31,2717.23,-5815.29,10618.21,-364.36,-4258.42,-938.3,-18045.55,-23606.63,281473.37,291759.43,302461.32,297100.4,1172794.52,2017
286,DI YOGYAKARTA,19299.94,20098.84,20812.67,21124.37,81335.81,895.56,940.73,955.37,964.73,3756.4,3799.72,4250.7,4806.65,6651.0,19508.07,7820.7,8435.92,9361.32,11493.5,37111.44,626.25,654.57,-38.3,125.67,1368.18,-3712.11,-5414.95,-5095.63,-9728.49,-23951.18,28730.06,28965.8,30802.08,30630.78,119128.72,2017
287,JAWA TIMUR,285812.64,297822.93,305214.09,305065.39,1193915.05,5575.35,5928.03,5881.8,6014.34,23399.52,18971.64,27500.66,31371.02,31600.68,109444.0,133609.51,139258.21,146427.12,149670.53,568965.37,6627.5,6620.04,9477.84,3218.56,25943.94,28974.12,19894.39,23150.78,19230.82,91250.11,479570.76,497024.26,521522.66,514800.32,2012917.99,2017
